b'["time", "open", "high", "low", "close", "volume"]'
b'["2022-02-14 19:53:00", "130.15", "130.15", "130.15", "130.15", "200"]'
b'["2022-02-14 16:18:00", "130.15", "130.15", "130.15", "130.15", "500"]'
b'["2022-02-14 16:03:00", "130.36", "130.36", "130.15", "130.15", "14228"]'
b'["2022-02-14 15:59:00", "130.39", "130.45", "130.3443", "130.38", "40774"]'
b'["2022-02-14 15:58:00", "130.32", "130.41", "130.24", "130.39", "27044"]'
b'["2022-02-14 15:56:00", "130.26", "130.43", "130.23", "130.34", "33069"]'
b'["2022-02-14 15:55:00", "130.2103", "130.3", "130.14", "130.24", "26278"]'
b'["2022-02-14 15:54:00", "130.31", "130.31", "130.18", "130.21", "15190"]'
b'["2022-02-14 15:53:00", "130.3", "130.36", "130.265", "130.29", "20348"]'
b'["2022-02-14 15:49:00", "130.4", "130.56", "130.38", "130.5051", "28922"]'
b'["2022-02-14 15:48:00", "130.17", "130.4", "130.17", "130.4", "11849"]'
b'["2022-02-14 15:47:00", "130.09", "130.18", "130.05", "130.18", "15873"]'
b'["2022-02-14 15:46:00", "130.305", "130.35", "130.09", "130.09", "17591"]'
b'["2022-02-14 15:45:00", "130.16", "130.32", "130.15", "130.32", "16036"]'
b'["2022-02-14 15:44:00", "130.13", "130.18", "130.07", "130.17", "12998"]'
b'["2022-02-14 15:43:00", "130.1", "130.155", "130.06", "130.14", "12507"]'
b'["2022-02-14 15:40:00", "130.14", "130.14", "130.05", "130.08", "5124"]'
b'["2022-02-14 15:39:00", "130.15", "130.18", "130.08", "130.14", "9991"]'
b'["2022-02-14 15:36:00", "130.165", "130.2", "130.12", "130.13", "9794"]'
b'["2022-02-14 15:32:00", "130.1", "130.125", "130.05", "130.07", "11337"]'
b'["2022-02-14 15:29:00", "129.95", "130.03", "129.945", "130.02", "5579"]'
b'["2022-02-14 15:28:00", "129.98", "130.05", "129.88", "129.94", "6931"]'
b'["2022-02-14 15:26:00", "130.0", "130.03", "129.94", "130.03", "5888"]'
b'["2022-02-14 15:25:00", "130.05", "130.1", "130.005", "130.02", "9956"]'
b'["2022-02-14 15:22:00", "129.59", "129.68", "129.59", "129.68", "3872"]'
b'["2022-02-14 15:20:00", "129.79", "129.82", "129.6918", "129.7", "7510"]'
b'["2022-02-14 15:16:00", "129.91", "129.91", "129.84", "129.85", "6884"]'
b'["2022-02-14 15:15:00", "129.82", "129.925", "129.7949", "129.91", "3263"]'
b'["2022-02-14 15:14:00", "129.77", "129.87", "129.77", "129.87", "3215"]'
b'["2022-02-14 15:12:00", "129.71", "129.75", "129.69", "129.7", "4250"]'
